turnover_id,payee_payer_name,holder_name
b892f151-e54d-4cdc-ad3b-bb49c6f10197,Stefan und Ulrike Steffens,Stefan und Manuela Steffens
85921cb1-9d3c-4ee0-aefa-5b758eef8701,Drk Krejsverband Claire Siege V,Maren Hecker
63cb68a0-8a04-11ec-1d14-82bb5829b41b,Emslaendische Volksbank Eg,Hinrich Schleich
fe383450-bc4e-11ec-c954-6c39d3c8dc12,Mig Gmbh Und Co Fonds6 Kg,Käthe Finke
9a372a30-e9e2-11ec-e558-8689140089a8,Bundesagentur Rosel Arbeit Service Lehmann,Käthe Finke
a09add40-5239-11ec-7540-40403ed94418,Stilla Regina Rust,Stilla Regina Rust
d9f5d970-a8a9-11ec-9461-3fe2980e62fd,Ga Nr00002139 Blz45850005 2,Frithjof Herrmann
e79d2040-7e3a-11ec-005c-25b05d1c6034,Mastercard Abrechnung,Korbinian Hellwig
e491ab10-87a8-11ec-4643-1378609546af,Wuertt Versicherg Ag,Agnieszka Kurt Hartung
6cecb6c0-6dba-11ec-9b29-f42aa7e6703f,Aktion Adriane Arnfried 2022,Vincenzo Gröttner
3c73fba0-7fcd-11ec-dd24-79982ba5fb42,Dm Drogeriemarkt Sagt Danke,Anna-Maria Scheuermann
2ee722e0-256f-11ec-fdb7-aedb36c95217,Oil 258 Heusweiler,Toni Und Pirmin Pechel
a0763e40-5239-11ec-64bb-6b46f92205eb,Stadtwerke Saarbrucken Netz Ag,Anatoli Jüttner
3ae309f0-8484-11ec-8b2c-6d59bdec8269,Kaufland,Vincenzo Mangold
3ae309f0-8484-11ec-8b2c-6d59bdec8267,Kreutzer Cris Neuer Lacosteweg 11 Muenchen,CRIS KREUTZER
1083d140-83bb-11ec-2b6e-c1f4960d3c7a,Tillmann Tomiak 90480 Nurnb,Vincenzo Gröttner
0d7268a0-8d29-11ec-084a-c60661b40854,Ullrich Scheel,Ullrich Scheel
d2828320-3b6f-11ec-ffc5-beac1bc69878,Jet Dankt Katharine Ihren Lehmann,Iwan Und Hedi Sager
564e6e60-2fa6-11ec-de2a-8319127bf074,Mobene Gmbh Co Kg,Lydia Drub
c6704cb0-6127-11ec-06b1-36867daaa910,Gudd Gess Saarbrigger,Margaret Und Ella Herrmann
6d2ccd00-6dba-11ec-d9dc-6e7aab069184,Stilla Regina Rust,Stilla Regina Rust
d2750d60-c03c-11ec-e8f7-edf3006bb28f,"Paypal Europe S A R L Et Cie, S C A",Ullrich Scheel
95d2a470-733a-11ec-78a5-bb8cbc042ce8,Huk Coburg Unternehmensgrup,Philomena Schaaf
1392eff0-7a4d-11ec-fa92-fb5e56938212,Patrizia Faust,Patrizia Faust
f9e90b50-45a6-11ec-2630-5ca440aa26bb,Margaret Und Ella Herrmann,Margaret Und Ella Herrmann
2eb55c40-aa3c-11ec-8478-ae605aa28c3a,Margaret Salz,Margaret Salz
beb5abf0-78ba-11ec-d223-45cced0d3133,Agnieszka Kurt Hartung,Agnieszka Kurt Hartung
048440b0-24a6-11ec-f478-5b5499f92ca5,Nikolai Scholz,Nikolai Scholz
c9613500-57b9-11ec-108a-cc803093cdf2,Lidl Dienstleistung Gmbh Und Co Kg,Hans-Michael Hendriks
1ca7e200-5e03-11ec-4f30-8cf766277c9f,Aldi Gmbh Co Kg Radevormwald,Ayten Siering
db734320-a3f2-11ec-72ab-53052fdfcf18,Techniker Krankenkasse,Guenther Jessel
f0db6c40-61f0-11ec-cc83-1ef7f0a612b1,Landesbank Berlin,Iwan Und Hedi Sager
18142db0-6c28-11ec-2b4c-0a003536357e,Ga Nr00002439 Blz46050001 0,Janna Ulla Tschentscher
6cf7da50-6dba-11ec-047a-ce23de21d40b,Alice Adeline Sibylle Hans-Karl Van Der Dussen,Alice Adeline Sibylle Hans-Karl Van Der Dussen
41058d10-71a8-11ec-a703-44ede1ff80e5,Ayten Siering,Ayten Siering
6b6cb500-7271-11ec-c1dc-503e7e884d03,Patrizia Faust,Patrizia Faust
5f354350-9829-11ec-8ef4-ed007092104b,Mareile Hövel,Mareile Hövel
aca17af0-2c81-11ec-3084-ee2ac6c8013d,Konstanze Und Kazim Holt,Konstanze Und Kazim Holt
6e706200-6903-11ec-ecd8-d7c9694c6d46,Gewinnsparrate 0120350672,Faruk Killer
d6e3fba0-b217-11ec-aebc-e45d82d3d579,Allbau A G,Till Schuchhardt
0d6c0000-8d29-11ec-9242-d63fe282fdd1,Halina Bonbach,Halina Bonbach
458a7450-6383-11ec-ec98-1ee01591606d,Worldpay Ap Limited,Georgia Beckmann
cae68df0-5302-11ec-6991-f45ec1ec3009,Apotheker Und Aerztebank,Alfred Ruppersberger
a80ab120-bf73-11ec-bddd-fde94324f2c7,Vincenzo Mangold,Vincenzo Mangold
d2775f90-3b6f-11ec-e891-dcfc81188fdf,Anatoli Jüttner,Anatoli Jüttner
1e492760-594c-11ec-5f57-214c9e178f87,Konstanze Und Kazim Holt,Konstanze Und Kazim Holt
